time,vehicle_id,is_fake,lane,position
0,fake_intersection_1_1_E_0_28398,True,road_1_2_3_0,231.68000000000004
0,fake_intersection_1_1_E_0_28399,True,road_1_2_3_0,232.68000000000004
0,fake_intersection_1_1_E_1_28400,True,road_1_2_3_1,231.68000000000004
0,fake_intersection_1_1_E_1_28401,True,road_1_2_3_1,232.68000000000004
8,0,False,road_2_1_2_0,5.1
9,0,False,road_2_1_2_0,15.819209930061735
10,0,False,road_2_1_2_0,26.398262932907606
10,fake_intersection_1_1_E_0_28402,True,road_1_2_3_0,231.68000000000004
10,fake_intersection_1_1_E_0_28403,True,road_1_2_3_0,232.68000000000004
10,fake_intersection_1_1_E_1_28404,True,road_1_2_3_1,231.68000000000004
10,fake_intersection_1_1_E_1_28405,True,road_1_2_3_1,232.68000000000004
10,0,False,road_2_1_2_0,26.398262932907606
11,1,False,road_0_1_0_0,5.1
11,0,False,road_2_1_2_0,37.61700883345232
12,1,False,road_0_1_0_0,14.5898712328232
12,0,False,road_2_1_2_0,48.35840857920572
13,1,False,road_0_1_0_0,24.778755866841806
13,0,False,road_2_1_2_0,59.259916205347515
14,1,False,road_0_1_0_0,35.18183594264102
14,0,False,road_2_1_2_0,70.17716511379498
15,1,False,road_0_1_0_0,45.43717054117177
15,2,False,road_2_1_2_0,5.1
15,0,False,road_2_1_2_0,81.6543972863851
16,1,False,road_0_1_0_0,55.72211589769791
16,2,False,road_2_1_2_0,15.859428598640724
16,0,False,road_2_1_2_0,93.08506599317509
17,3,False,road_0_1_0_0,5.1
17,1,False,road_0_1_0_0,64.9417676589361
17,2,False,road_2_1_2_0,26.7938691514819
17,0,False,road_2_1_2_0,104.18846968167051
18,3,False,road_0_1_0_0,16.84078260451249
18,1,False,road_0_1_0_0,75.11023532815462
18,2,False,road_2_1_2_0,37.88584384145845
18,0,False,road_2_1_2_0,115.81135859276074
19,4,False,road_0_1_0_0,5.1
19,3,False,road_0_1_0_0,28.580654291401096
19,1,False,road_0_1_0_0,84.98512283219368
19,2,False,road_2_1_2_0,48.30651369982773
19,0,False,road_2_1_2_0,127.23005301733724
20,4,False,road_0_1_0_0,15.575764268919444
20,3,False,road_0_1_0_0,40.30357184728437
20,1,False,road_0_1_0_0,95.27926093191877
20,2,False,road_2_1_2_0,58.45041505958538
20,0,False,road_2_1_2_0,138.61660014153065
20,4,False,road_0_1_0_0,15.575764268919444
20,3,False,road_0_1_0_0,40.30357184728437
20,1,False,road_0_1_0_0,95.27926093191877
20,fake_intersection_1_1_E_0_28406,True,road_1_2_3_0,231.68000000000004
20,fake_intersection_1_1_E_0_28407,True,road_1_2_3_0,232.68000000000004
20,fake_intersection_1_1_E_1_28408,True,road_1_2_3_1,231.68000000000004
20,fake_intersection_1_1_E_1_28409,True,road_1_2_3_1,232.68000000000004
20,2,False,road_2_1_2_0,58.45041505958538
20,0,False,road_2_1_2_0,138.61660014153065
21,5,False,road_0_1_0_0,5.1
21,4,False,road_0_1_0_0,26.735044212296774
21,3,False,road_0_1_0_0,52.014482368877054
21,1,False,road_0_1_0_0,105.58662073646403
21,2,False,road_2_1_2_0,69.03134561079884
21,0,False,road_2_1_2_0,149.30611930411698
22,5,False,road_0_1_0_0,13.711392835961504
22,4,False,road_0_1_0_0,37.992110874839845
22,3,False,road_0_1_0_0,63.18031112493912
22,1,False,road_0_1_0_0,115.09784312967567
22,6,False,road_2_1_2_0,5.1
22,2,False,road_2_1_2_0,79.3635385573523
22,0,False,road_2_1_2_0,159.80476279923002
23,5,False,road_0_1_0_0,22.508615217643488
23,4,False,road_0_1_0_0,48.31339701722782
23,3,False,road_0_1_0_0,74.79240668945512
23,1,False,road_0_1_0_0,125.11202876046815
23,6,False,road_2_1_2_0,16.656241099564838
23,2,False,road_2_1_2_0,89.71244600600846
23,0,False,road_2_1_2_0,171.57156127123255
